+-------+--------------------------------+----------------+-------+
|   #   | User Name                      | Boulder/routes |   %   |
|  442  | 45er                           |       65       | 0.024 |
|  443  | Johanblast                     |       65       | 0.024 |
|  444  | JustinButler                   |       65       | 0.024 |
|  445  | ZanderOstrovsky                |       65       | 0.024 |
|  446  | agutteridge                    |       65       | 0.024 |
|  447  | altermont                      |       65       | 0.024 |
|  448  | bisson438                      |       65       | 0.024 |
|  449  | chen2qu                        |       65       | 0.024 |
|  450  | eli12k                         |       65       | 0.024 |
|  451  | maximotaylorlindsay            |       65       | 0.024 |
|  452  | myanagis                       |       65       | 0.024 |
|  453  | nellymigzeba                   |       65       | 0.024 |
|  454  | semsemilia013                  |       65       | 0.024 |
|  455  | stefan                         |       65       | 0.024 |
|  456  | tjunk28                        |       65       | 0.024 |
|  457  | ClimbWorld                     |       64       | 0.024 |
|  458  | DrPlim                         |       64       | 0.024 |
|  459  | KrisBoulder                    |       64       | 0.024 |
|  460  | Ronnyesc                       |       64       | 0.024 |
|  461  | kenyatheiwong                  |       64       | 0.024 |
|  462  | michaelheaps                   |       64       | 0.024 |
|  463  | senderoneTC                    |       64       | 0.024 |
|  464  | Nick_L                         |       63       | 0.023 |
|  465  | R3L3NTL3SS                     |       63       | 0.023 |
|  466  | Vyti_Pasivyti                  |       63       | 0.023 |
|  467  | hangar18longbeach              |       63       | 0.023 |
|  468  | helloootheree                  |       63       | 0.023 |
|  469  | jlueth0518                     |       63       | 0.023 |
|  470  | lighthouseclimbing             |       63       | 0.023 |
|  471  | mcanniz                        |       63       | 0.023 |
|  472  | sognekraft                     |       63       | 0.023 |
|  473  | BigPappaPenguin                |       62       | 0.023 |
|  474  | Flashikovksi                   |       62       | 0.023 |
|  475  | JasonHenrie                    |       62       | 0.023 |
|  476  | Junghan                        |       62       | 0.023 |
|  477  | MorgyDee                       |       62       | 0.023 |
|  478  | Philippeveld                   |       62       | 0.023 |
|  479  | costoff                        |       62       | 0.023 |
|  480  | eason610438                    |       62       | 0.023 |
|  481  | gunz914                        |       62       | 0.023 |
|  482  | modusmillerns                  |       62       | 0.023 |
|  483  | 00_rocketboy                   |       61       | 0.023 |
|  484  | 2WillLov3                      |       61       | 0.023 |
|  485  | Erik_Cmiel                     |       61       | 0.023 |
|  486  | bmorley                        |       61       | 0.023 |
|  487  | bunsoclimbs                    |       61       | 0.023 |
|  488  | dragonpixels                   |       61       | 0.023 |
|  489  | einsteinKilterBoardGames2024   |       61       | 0.023 |
|  490  | iancb000                       |       61       | 0.023 |
|  491  | ianmek                         |       61       | 0.023 |
|  492  | jonnyoOo                       |       61       | 0.023 |
|  493  | lomoney94                      |       61       | 0.023 |
|  494  | lzd                            |       61       | 0.023 |
|  495  | martin74                       |       61       | 0.023 |
|  496  | mujikaetxaniz                  |       61       | 0.023 |
|  497  | tmitchell                      |       61       | 0.023 |
|  498  | two3four5six                   |       61       | 0.023 |
|  499  | Adampling                      |       60       | 0.022 |
|  500  | Arklee                         |       60       | 0.022 |
|  501  | Bamaswimmer1820                |       60       | 0.022 |
|  502  | BigEffingDeal                  |       60       | 0.022 |
|  503  | Cadsmar                        |       60       | 0.022 |
|  504  | JStreet                        |       60       | 0.022 |
|  505  | Overrein                       |       60       | 0.022 |
|  506  | climbey_mcclimbface            |       60       | 0.022 |
|  507  | daniel_boulders                |       60       | 0.022 |
|  508  | hdlee                          |       60       | 0.022 |
|  509  | nctoomey                       |       60       | 0.022 |
|  510  | nickwedge                      |       60       | 0.022 |
|  511  | paulflamm                      |       60       | 0.022 |
|  512  | theivan                        |       60       | 0.022 |
|  513  | Abdel                          |       59       | 0.022 |
|  514  | ChiNNe                         |       59       | 0.022 |
|  515  | Eli_Climbs                     |       59       | 0.022 |
|  516  | JerryClimber                   |       59       | 0.022 |
|  517  | JohnPaulWeener                 |       59       | 0.022 |
|  518  | LimSeungWon98                  |       59       | 0.022 |
|  519  | Naypalm                        |       59       | 0.022 |
|  520  | Noway                          |       59       | 0.022 |
|  521  | blakeVTswim                    |       59       | 0.022 |
|  522  | habeebsquadri                  |       59       | 0.022 |
|  523  | jackbeanland                   |       59       | 0.022 |
|  524  | kilterBattle.pt                |       59       | 0.022 |
|  525  | nicjcorn                       |       59       | 0.022 |
|  526  | sfarley                        |       59       | 0.022 |
|  527  | FrancisGroleau                 |       58       | 0.022 |
|  528  | JMWclimbs                      |       58       | 0.022 |
|  529  | Noe98_mu                       |       58       | 0.022 |
|  530  | adoherty8a                     |       58       | 0.022 |
|  531  | alex2910                       |       58       | 0.022 |
|  532  | blocshopnic                    |       58       | 0.022 |
|  533  | devilsphilosopher              |       58       | 0.022 |
|  534  | easy                           |       58       | 0.022 |
|  535  | greenmile                      |       58       | 0.022 |
|  536  | ida2.0                         |       58       | 0.022 |
|  537  | klausskyworker                 |       58       | 0.022 |
|  538  | kurisu979                      |       58       | 0.022 |
|  539  | lasertronic                    |       58       | 0.022 |
|  540  | scro                           |       58       | 0.022 |
|  541  | so12833                        |       58       | 0.022 |
|  542  | virpa                          |       58       | 0.022 |
|  543  | AntoineBern                    |       57       | 0.021 |
|  544  | BoulderFlo                     |       57       | 0.021 |
