+------+--------------------------------+-----------------+--------+
|  #   | User Name                      | Uploaded Videos |   %    |
| 263  | meg_on_a_board                 | 16              | 0.056  |
| 264  | peterhayssenclimbgrind         | 16              | 0.056  |
| 265  | pumpedaholic                   | 16              | 0.056  |
| 266  | seunghyun_ong_                 | 16              | 0.056  |
| 267  | somdari_climbing               | 16              | 0.056  |
| 268  | turbofangers                   | 16              | 0.056  |
| 269  | yoozemm                        | 16              | 0.056  |
| 270  | adamboardclimbs                | 15              | 0.053  |
| 271  | bellsieshell                   | 15              | 0.053  |
| 272  | boardie_shortie                | 15              | 0.053  |
| 273  | boogipark_climber              | 15              | 0.053  |
| 274  | boredclimbing                  | 15              | 0.053  |
| 275  | boulderingconst                | 15              | 0.053  |
| 276  | chert_board                    | 15              | 0.053  |
| 277  | climb_little_fung              | 15              | 0.053  |
| 278  | climbing._.worms               | 15              | 0.053  |
| 279  | climbingbullet                 | 15              | 0.053  |
| 280  | dave.climbs.slacks             | 15              | 0.053  |
| 281  | elif.tosun13                   | 15              | 0.053  |
| 282  | fedir_samoilov                 | 15              | 0.053  |
| 283  | lambo.ard                      | 15              | 0.053  |
| 284  | mtamber                        | 15              | 0.053  |
| 285  | mthem.w                        | 15              | 0.053  |
| 286  | pharael_m                      | 15              | 0.053  |
| 287  | teayoung.kim                   | 15              | 0.053  |
| 288  | _minnnnnn._                    | 14              | 0.049  |
| 289  | abkkken_climb                  | 14              | 0.049  |
| 290  | anime.feet.pics                | 14              | 0.049  |
| 291  | batuplastik                    | 14              | 0.049  |
| 292  | boulder.project                | 14              | 0.049  |
| 293  | climbingdings                  | 14              | 0.049  |
| 294  | greg_has_gone                  | 14              | 0.049  |
| 295  | jason_dykstra                  | 14              | 0.049  |
| 296  | jw__kilt                       | 14              | 0.049  |
| 297  | kannonboard                    | 14              | 0.049  |
| 298  | nattoclimbs                    | 14              | 0.049  |
| 299  | santa_cruz_k45                 | 14              | 0.049  |
| 300  | sick_board_sends               | 14              | 0.049  |
| 301  | thane_falls                    | 14              | 0.049  |
| 302  | tycoraaa                       | 14              | 0.049  |
| 303  | __2yh__                        | 13              | 0.046  |
| 304  | ajlomboy96                     | 13              | 0.046  |
| 305  | birdboy_93                     | 13              | 0.046  |
| 306  | boulder_betas                  | 13              | 0.046  |
| 307  | bstar_king                     | 13              | 0.046  |
| 308  | climbs_in_socks                | 13              | 0.046  |
| 309  | closedcrimp                    | 13              | 0.046  |
| 310  | dmsecretboardaccount           | 13              | 0.046  |
| 311  | dyparkitrighthere              | 13              | 0.046  |
| 312  | hanes_hsu_climbing             | 13              | 0.046  |
| 313  | hoseok_lee93                   | 13              | 0.046  |
| 314  | kiltergold                     | 13              | 0.046  |
| 315  | maarten_bouldert               | 13              | 0.046  |
| 316  | mattc_climbs                   | 13              | 0.046  |
| 317  | matthew_mercadoo               | 13              | 0.046  |
| 318  | mirkofoletti2002               | 13              | 0.046  |
| 319  | ptr.sbo                        | 13              | 0.046  |
| 320  | seochae_who                    | 13              | 0.046  |
| 321  | small_n_sendy                  | 13              | 0.046  |
| 322  | strongkido_climb               | 13              | 0.046  |
| 323  | telescopeminusmang             | 13              | 0.046  |
| 324  | abc_.hwani                     | 12              | 0.042  |
| 325  | balancedclimber                | 12              | 0.042  |
| 326  | beta.nuke                      | 12              | 0.042  |
| 327  | betacarrotene                  | 12              | 0.042  |
| 328  | cherry.climb                   | 12              | 0.042  |
| 329  | choy.hl                        | 12              | 0.042  |
| 330  | climber_ryu                    | 12              | 0.042  |
| 331  | elvislegs                      | 12              | 0.042  |
| 332  | fatboycanclimb                 | 12              | 0.042  |
| 333  | hj_.ahn                        | 12              | 0.042  |
| 334  | hun.climb                      | 12              | 0.042  |
| 335  | jintonic922                    | 12              | 0.042  |
| 336  | lyndalyn0                      | 12              | 0.042  |
| 337  | morphoclimbs                   | 12              | 0.042  |
| 338  | ricecrimpiesquares             | 12              | 0.042  |
| 339  | sam.sned                       | 12              | 0.042  |
| 340  | shmalts_board                  | 12              | 0.042  |
| 341  | smolboiclimbing                | 12              | 0.042  |
| 342  | taraliskova                    | 12              | 0.042  |
| 343  | threedimensionalpuzzles        | 12              | 0.042  |
| 344  | u.o._j                         | 12              | 0.042  |
| 345  | zynthrex_board_account         | 12              | 0.042  |
| 346  | 0__ccle__                      | 11              | 0.039  |
| 347  | adonisonthewall                | 11              | 0.039  |
| 348  | adubs_set                      | 11              | 0.039  |
| 349  | boldercheomji                  | 11              | 0.039  |
| 350  | brian.is.dynamic               | 11              | 0.039  |
| 351  | cartermtower                   | 11              | 0.039  |
| 352  | choyhl                         | 11              | 0.039  |
| 353  | crakor_0494                    | 11              | 0.039  |
| 354  | crimparoo                      | 11              | 0.039  |
| 355  | croptopcrusaders               | 11              | 0.039  |
| 356  | dliangsta                      | 11              | 0.039  |
| 357  | ggamdy_0917                    | 11              | 0.039  |
| 358  | gucci.yohei                    | 11              | 0.039  |
| 359  | gwoook                         | 11              | 0.039  |
| 360  | hoonclimbing                   | 11              | 0.039  |
| 361  | im.climbing                    | 11              | 0.039  |
| 362  | jae_ya_5.11                    | 11              | 0.039  |
| 363  | jameslough_04                  | 11              | 0.039  |
| 364  | jaypee.773                     | 11              | 0.039  |
| 365  | jiin_spiration                 | 11              | 0.039  |
| 366  | jimmmmin__                     | 11              | 0.039  |
| 367  | joaogago_climbing              | 11              | 0.039  |
| 368  | jomme.han                      | 11              | 0.039  |
| 369  | justboardacc                   | 11              | 0.039  |
| 370  | long.diao                      | 11              | 0.039  |
| 371  | matthewontherocks              | 11              | 0.039  |
| 372  | nickdandriaclimbs              | 11              | 0.039  |
| 373  | ronan.climbs                   | 11              | 0.039  |
| 374  | sebi_climbs                    | 11              | 0.039  |
| 375  | seo_jiheon                     | 11              | 0.039  |
| 376  | ssooyyoonn                     | 11              | 0.039  |
| 377  | stc2072                        | 11              | 0.039  |
| 378  | system.boards                  | 11              | 0.039  |
| 379  | vertotter                      | 11              | 0.039  |
| 380  | wptheclimber                   | 11              | 0.039  |
| 381  | yongyong_0401                  | 11              | 0.039  |
| 382  | _bearbell                      | 10              | 0.035  |
| 383  | _pyoyo_                        | 10              | 0.035  |
| 384  | andre.climbs                   | 10              | 0.035  |
| 385  | benw_climbs                    | 10              | 0.035  |
| 386  | bingbing_board                 | 10              | 0.035  |
| 387  | brayden.ketchum                | 10              | 0.035  |
| 388  | bryanmcq317                    | 10              | 0.035  |
| 389  | chalkassaxin                   | 10              | 0.035  |
| 390  | climb_matthew_climb            | 10              | 0.035  |
| 391  | felinefavia                    | 10              | 0.035  |
| 392  | guoliang.oon                   | 10              | 0.035  |
| 393  | h_yeeeing                      | 10              | 0.035  |
| 394  | hardiclimbs                    | 10              | 0.035  |
| 395  | henioclimber                   | 10              | 0.035  |
| 396  | igorclimbs                     | 10              | 0.035  |
| 397  | infjsclimb                     | 10              | 0.035  |
| 398  | jeremy.klimbs                  | 10              | 0.035  |
| 399  | jimmykclimbs                   | 10              | 0.035  |
| 400  | joe.macross                    | 10              | 0.035  |
| 401  | julian_on_the_board            | 10              | 0.035  |
| 402  | kilter_moodle                  | 10              | 0.035  |
| 403  | klenodium                      | 10              | 0.035  |
| 404  | kojungle952                    | 10              | 0.035  |
| 405  | kpechera                       | 10              | 0.035  |
| 406  | lc.climbs                      | 10              | 0.035  |
| 407  | maddyboards                    | 10              | 0.035  |
| 408  | sam_keechler_boards            | 10              | 0.035  |
| 409  | samoht_auhsoj                  | 10              | 0.035  |
| 410  | supersawchordsandtensionboards | 10              | 0.035  |
| 411  | sy._.neulbo                    | 10              | 0.035  |
| 412  | tainuda                        | 10              | 0.035  |
| 413  | tobeykirchnr_                  | 10              | 0.035  |
| 414  | victorvxb                      | 10              | 0.035  |
| 415  | wrong_beta_only                | 10              | 0.035  |
| 416  | yano_ninja                     | 10              | 0.035  |
| 417  | _91.03.25                      | 9               | 0.032  |
| 418  | board.meetingz                 | 9               | 0.032  |
| 419  | boredboardclimber              | 9               | 0.032  |
| 420  | bouldnoobs                     | 9               | 0.032  |
| 421  | butterfinger.climber           | 9               | 0.032  |
| 422  | choi.seungchan                 | 9               | 0.032  |
| 423  | climb_yellow_tail              | 9               | 0.032  |
| 424  | cremecheese                    | 9               | 0.032  |
| 425  | dieselboard                    | 9               | 0.032  |
| 426  | escaladeux                     | 9               | 0.032  |
| 427  | fitzy_boardclimbs              | 9               | 0.032  |
| 428  | freethinkers1981               | 9               | 0.032  |
| 429  | goguma___joa___                | 9               | 0.032  |
| 430  | hyun_173.60.180                | 9               | 0.032  |
| 431  | inaboardclimbs                 | 9               | 0.032  |
| 432  | jiiggyzz                       | 9               | 0.032  |
| 433  | jl_10146                       | 9               | 0.032  |
| 434  | joepullsplastic                | 9               | 0.032  |
| 435  | kilterboard_crank              | 9               | 0.032  |
| 436  | kim_bro_0411                   | 9               | 0.032  |
| 437  | leo_skinner                    | 9               | 0.032  |
| 438  | liannus                        | 9               | 0.032  |
| 439  | lukerclimbs                    | 9               | 0.032  |
| 440  | me_mii.c                       | 9               | 0.032  |
| 441  | noodleclimbs                   | 9               | 0.032  |
| 442  | notyongkai                     | 9               | 0.032  |
| 443  | orange_socks_usually           | 9               | 0.032  |
| 444  | pann.l1                        | 9               | 0.032  |
| 445  | plesserboardbeta               | 9               | 0.032  |
| 446  | rental_shoes_                  | 9               | 0.032  |
| 447  | seb_is_weak                    | 9               | 0.032  |
| 448  | shinsmears                     | 9               | 0.032  |
| 449  | siarafabbri                    | 9               | 0.032  |
| 450  | sp4nking                       | 9               | 0.032  |
| 451  | sungbo.s_94                    | 9               | 0.032  |
| 452  | t_t_kilter                     | 9               | 0.032  |
| 453  | ti_viccc_kilter                | 9               | 0.032  |
| 454  | tim_climbs_kilter              | 9               | 0.032  |
| 455  | toby.board.climbing            | 9               | 0.032  |
| 456  | victah.climbah                 | 9               | 0.032  |
| 457  | vukylebeta                     | 9               | 0.032  |
| 458  | wall_bec_                      | 9               | 0.032  |
| 459  | yimanl                         | 9               | 0.032  |
| 460  | yunseok_93                     | 9               | 0.032  |
| 461  | aaronguiles                    | 8               | 0.028  |
| 462  | andrews.kt.series              | 8               | 0.028  |
| 463  | baklavva                       | 8               | 0.028  |
| 464  | brandonmb1                     | 8               | 0.028  |
| 465  | ccbenne                        | 8               | 0.028  |
| 466  | choy_hl                        | 8               | 0.028  |
| 467  | dankyclimbs                    | 8               | 0.028  |
| 468  | davinboardclimbs               | 8               | 0.028  |
| 469  | dooly_57s                      | 8               | 0.028  |
